Census_Tract,County,State,State_Abbr,Resilience_Score,Health_Burden,Urban_Rural,Population_2010,Poverty_Rate,Median_Income,GEOID,latitude,longitude
13053020205,Chattahoochee County,Georgia,GA,2.785,-1.187,Urban,2919,13.2,47500.0,13053020205,32.366856,-84.939564
48201313900,Harris County,Texas,TX,2.783,-1.219,Urban,4495,20.6,74722.0,48201313900,29.6919207,-95.3838935
1081040902,Lee County,Alabama,AL,2.778,-0.663,Urban,5201,42.9,59576.0,01081040902,32.6207235,-85.468112
48041001605,Brazos County,Texas,TX,2.774,-1.275,Urban,3367,34.9,56792.0,48041001605,30.5976885,-96.3256864
37133000700,Onslow County,North Carolina,NC,2.773,-1.165,Urban,5176,11.0,49094.0,37133000700,34.7050581,-77.3696373
26077001507,Kalamazoo County,Michigan,MI,2.772,-1.091,Urban,6060,63.3,26763.0,26077001507,42.2751166,-85.6326143
2090001800,Fairbanks North Star Borough,Alaska,AK,2.769,-1.722,Urban,2743,4.1,64018.0,02090001800,64.6760436,-146.5481586
48121020900,Denton County,Texas,TX,2.756,-1.234,Urban,4644,41.7,38750.0,48121020900,33.2021001,-97.1584476
1081040200,Lee County,Alabama,AL,2.753,-0.648,Urban,5133,33.5,74250.0,01081040200,32.6113816,-85.4521355
48453001834,Travis County,Texas,TX,2.751,-1.103,Urban,8204,11.2,70192.0,48453001834,30.3502745,-97.6605603
4019003600,Pima County,Arizona,AZ,2.743,-1.41,Urban,4552,15.8,49861.0,04019003600,32.1612127,-110.8488608
37183053713,Wake County,North Carolina,NC,2.742,-1.127,Urban,3588,9.0,52647.0,37183053713,35.8789783,-78.6954477
39049007043,Franklin County,Ohio,OH,2.738,-0.778,Urban,4047,10.7,59342.0,39049007043,40.1214012,-83.006916
6085504700,Santa Clara County,California,CA,2.73,-1.586,Urban,719,8.1,87000.0,06085504700,37.4164754,-122.0497236
36045060804,Jefferson County,New York,NY,2.728,-1.376,Urban,7895,7.2,51929.0,36045060804,44.0423316,-75.7508798
26061000800,Houghton County,Michigan,MI,2.725,-1.068,Urban,6394,48.1,61500.0,26061000800,47.1021101,-88.5368685
28105950400,Oktibbeha County,Mississippi,MS,2.722,-0.595,Urban,7346,44.3,66641.0,28105950400,33.477053,-88.7985622
