TractFIPS,StateAbbr,burden,resid,resilience_score,GEOID
51059480501,VA,-0.911081,-0.610141,1.021615,51059480501
13089021705,GA,-0.475982,-0.965839,1.617194,13089021705
26161420200,MI,-0.519124,-0.921883,1.543594,26161420200
32031001501,NV,-0.680827,-1.013774,1.697455,32031001501
48113017305,TX,-0.562159,-0.454703,0.761352,48113017305
04013617100,AZ,-0.713702,-0.424005,0.709950,04013617100
17031819900,IL,-0.755324,-0.568301,0.951559,17031819900
24005403402,MD,0.706155,0.886578,-1.484478,24005403402
26115830700,MI,-0.004648,-0.389986,0.652989,26115830700
33013043002,NH,-0.156021,-0.100654,0.168534,33013043002
36081011000,NY,-0.428027,-0.179287,0.300197,36081011000
40109108221,OK,-0.628564,-1.269832,2.126196,40109108221
42049010201,PA,0.210336,0.288780,-0.483532,42049010201
13271950500,GA,1.395261,0.513134,-0.859188,13271950500
19097950500,IA,0.563876,0.735323,-1.231219,19097950500
36081142900,NY,-0.476383,-0.227389,0.380739,36081142900
47149040901,TN,-0.274466,-0.811341,1.358503,47149040901
45013000600,SC,0.236962,0.132864,-0.222466,45013000600
48201533702,TX,0.592869,0.665989,-1.115127,48201533702
22029000500,LA,0.652724,0.005018,-0.008402,22029000500
29021002700,MO,0.263636,-0.119760,0.200525,29021002700
37179021004,NC,-0.683366,-0.676232,1.132277,37179021004
42127960700,PA,0.583340,0.115101,-0.192725,42127960700
55139003701,WI,-0.231435,0.020246,-0.033900,55139003701
08089968300,CO,0.261666,0.793692,-1.328952,08089968300
13121010118,GA,-0.592854,-0.578925,0.969347,13121010118
21075960100,KY,1.640575,1.048771,-1.756053,21075960100
27123033600,MN,0.871194,1.302556,-2.180989,27123033600
46013951500,SD,-0.027902,0.185671,-0.310886,46013951500
51037930200,VA,0.911834,0.383348,-0.641876,51037930200
01051030200,AL,0.320844,-0.469286,0.785769,01051030200
05145070700,AR,0.501250,-0.181872,0.304526,05145070700
29047021803,MO,-0.652520,-1.045855,1.751172,29047021803
08069001305,CO,-0.738713,0.122751,-0.205534,08069001305
01111000200,AL,0.508318,-0.304967,0.510635,01111000200
06097152203,CA,-0.511197,-0.044162,0.073944,06097152203
18083955200,IN,0.319982,-0.118494,0.198406,18083955200
42079216700,PA,0.948459,1.014807,-1.699186,42079216700
53023970300,WA,0.563797,0.815199,-1.364963,53023970300
06059089107,CA,-0.807107,-0.325334,0.544737,06059089107
17197880418,IL,-0.835947,-0.713234,1.194233,17197880418
21111012701,KY,1.597231,1.313446,-2.199224,21111012701
26093740700,MI,-0.516254,-0.571752,0.957337,26093740700
24001001402,MD,0.319506,-0.014460,0.024212,24001001402
32003005829,NV,-0.940778,-0.746994,1.250761,32003005829
36001014802,NY,0.079557,0.037932,-0.063513,36001014802
42101032300,PA,-0.257870,-0.199492,0.334028,42101032300
06013384000,CA,-0.701200,-0.201803,0.337897,06013384000
06045011300,CA,-0.064337,-0.093338,0.156284,06045011300
29031881400,MO,1.355071,1.288497,-2.157449,29031881400
36085001700,NY,0.039867,0.287418,-0.481251,36085001700
39049009240,OH,0.691673,0.350042,-0.586107,39049009240
22033003802,LA,-0.393866,-0.721522,1.208111,22033003802
42053530201,PA,0.980568,0.219539,-0.367595,42053530201
42107001700,PA,0.263243,0.319133,-0.534354,42107001700
55121100400,WI,0.052906,-0.010116,0.016938,55121100400
